Front	Back	Tags
"<div class=""top""><span class=""chip c1"">章节：绪论</span><span class=""chip c2"">识记</span><span class=""chip c3"">基本概念和术语</span></div><h1>数据</h1><div class=""q"">数据是指所有能输入计算机并被计算机程序处理的符号的<span class=""blank"">______</span></div>"	"<div class=""top""><span class=""chip c1"">章节：绪论</span><span class=""chip c2"">识记</span><span class=""chip c3"">基本概念和术语</span></div><h1>数据</h1><div class=""a"">数据是指所有能输入计算机并被计算机程序处理的符号的<span class=""hit"">集合</span></div><div class=""ansbox"">挖空答案：<b>集合</b></div><div class=""pg"">教材页码：P32</div>"	绪论 识记 基本概念和术语 13003数据结构与算法
"<div class=""top""><span class=""chip c1"">章节：绪论</span><span class=""chip c2"">识记</span><span class=""chip c3"">基本概念和术语</span></div><h1>数据元素</h1><div class=""q"">数据元素还可以细分为<span class=""blank"">______</span>。例如，要保存100名学生的信息，每名学生的信息包括学号、姓名、所学各科成绩等，可使用一条记录来保存。一条记录可以被看作一个数据元素，而记录中的学号、姓名、各科成绩等都可以被看作数据项。全部学生的记录构成了数据。逻辑上相关的、具有物理意义的若干数据项构成一个数据元素；数据元素作为一个完整的对象（整体）是构成数据的基本单位</div>"	"<div class=""top""><span class=""chip c1"">章节：绪论</span><span class=""chip c2"">识记</span><span class=""chip c3"">基本概念和术语</span></div><h1>数据元素</h1><div class=""a"">数据元素还可以细分为<span class=""hit"">数据项</span>。例如，要保存100名学生的信息，每名学生的信息包括学号、姓名、所学各科成绩等，可使用一条记录来保存。一条记录可以被看作一个数据元素，而记录中的学号、姓名、各科成绩等都可以被看作<span class=""hit"">数据项</span>。全部学生的记录构成了数据。逻辑上相关的、具有物理意义的若干<span class=""hit"">数据项</span>构成一个数据元素；数据元素作为一个完整的对象（整体）是构成数据的基本单位</div><div class=""ansbox"">挖空答案：<b>数据项</b></div><div class=""pg"">教材页码：P32</div>"	绪论 识记 基本概念和术语 13003数据结构与算法
"<div class=""top""><span class=""chip c1"">章节：绪论</span><span class=""chip c2"">识记</span><span class=""chip c3"">基本概念和术语</span></div><h1>数据项</h1><div class=""q"">在<span class=""blank"">______</span>中，数据的最小不可分割的单位是数据项</div>"	"<div class=""top""><span class=""chip c1"">章节：绪论</span><span class=""chip c2"">识记</span><span class=""chip c3"">基本概念和术语</span></div><h1>数据项</h1><div class=""a"">在<span class=""hit"">数据结构</span>中，数据的最小不可分割的单位是数据项</div><div class=""ansbox"">挖空答案：<b>数据结构</b></div><div class=""pg"">教材页码：P33</div>"	绪论 识记 基本概念和术语 13003数据结构与算法
"<div class=""top""><span class=""chip c1"">章节：绪论</span><span class=""chip c2"">识记</span><span class=""chip c3"">基本概念和术语</span></div><h1>数据结构</h1><div class=""q""><span class=""blank"">______</span>之间的相互关系构成结构，带有结构特性的数据元素集合构成数据结构。数据结构又分为<span class=""blank"">______</span>和<span class=""blank"">______</span></div>"	"<div class=""top""><span class=""chip c1"">章节：绪论</span><span class=""chip c2"">识记</span><span class=""chip c3"">基本概念和术语</span></div><h1>数据结构</h1><div class=""a""><span class=""hit"">数据元素</span>之间的相互关系构成结构，带有结构特性的<span class=""hit"">数据元素</span>集合构成数据结构。数据结构又分为<span class=""hit"">逻辑结构</span>和<span class=""hit"">存储结构</span></div><div class=""ansbox"">挖空答案：<b>数据元素、逻辑结构、存储结构</b></div><div class=""pg"">教材页码：P34</div>"	绪论 识记 基本概念和术语 13003数据结构与算法
"<div class=""top""><span class=""chip c1"">章节：绪论</span><span class=""chip c2"">识记</span><span class=""chip c3"">基本概念和术语</span></div><h1>逻辑结构</h1><div class=""q"">逻辑结构主要是指<span class=""blank"">______</span>之间的逻辑关系</div>"	"<div class=""top""><span class=""chip c1"">章节：绪论</span><span class=""chip c2"">识记</span><span class=""chip c3"">基本概念和术语</span></div><h1>逻辑结构</h1><div class=""a"">逻辑结构主要是指<span class=""hit"">数据元素</span>之间的逻辑关系</div><div class=""ansbox"">挖空答案：<b>数据元素</b></div><div class=""pg"">教材页码：P34</div>"	绪论 识记 基本概念和术语 13003数据结构与算法
"<div class=""top""><span class=""chip c1"">章节：绪论</span><span class=""chip c2"">识记</span><span class=""chip c3"">基本概念和术语</span></div><h1>存储结构</h1><div class=""q"">存储结构主要是指<span class=""blank"">______</span>在计算机中的表示及存储方式</div>"	"<div class=""top""><span class=""chip c1"">章节：绪论</span><span class=""chip c2"">识记</span><span class=""chip c3"">基本概念和术语</span></div><h1>存储结构</h1><div class=""a"">存储结构主要是指<span class=""hit"">数据元素</span>在计算机中的表示及存储方式</div><div class=""ansbox"">挖空答案：<b>数据元素</b></div><div class=""pg"">教材页码：P34</div>"	绪论 识记 基本概念和术语 13003数据结构与算法
"<div class=""top""><span class=""chip c1"">章节：绪论</span><span class=""chip c2"">识记</span><span class=""chip c3"">基本概念和术语</span></div><h1>基本操作</h1><div class=""q"">基本操作是指对<span class=""blank"">______</span>可以进行的常用操作，如向数据结构中添加新元素、删除元素、查找元素、求长度、判断是否为空等。在<span class=""blank"">______</span>中，每个操作需规定操作名、前提条件、输入和输出，明确&quot;<span class=""blank"">______</span>&quot;。</div>"	"<div class=""top""><span class=""chip c1"">章节：绪论</span><span class=""chip c2"">识记</span><span class=""chip c3"">基本概念和术语</span></div><h1>基本操作</h1><div class=""a"">基本操作是指对<span class=""hit"">数据结构</span>可以进行的常用操作，如向<span class=""hit"">数据结构</span>中添加新元素、删除元素、查找元素、求长度、判断是否为空等。在<span class=""hit"">抽象数据类型</span>中，每个操作需规定操作名、前提条件、输入和输出，明确&quot;<span class=""hit"">做什么</span>&quot;。</div><div class=""ansbox"">挖空答案：<b>数据结构、抽象数据类型、做什么</b></div><div class=""pg"">教材页码：P36</div>"	绪论 识记 基本概念和术语 13003数据结构与算法
"<div class=""top""><span class=""chip c1"">章节：绪论</span><span class=""chip c2"">识记</span><span class=""chip c3"">基本概念和术语</span></div><h1>集合</h1><div class=""q""><span class=""blank"">______</span>由元素构成，是数学中最基本的概念之一。集合中各元素之间没有次序关系，涉及元素与集合的操作包括：将新元素加入集合、从集合中删除指定元素、判定某元素是否属于集合等。还可以对集合进行操作，如判定集合是否为空、求两个集合的并集、求两个集合的交集、求一个集合的补集等</div>"	"<div class=""top""><span class=""chip c1"">章节：绪论</span><span class=""chip c2"">识记</span><span class=""chip c3"">基本概念和术语</span></div><h1>集合</h1><div class=""a""><span class=""hit"">集合</span>由元素构成，是数学中最基本的概念之一。<span class=""hit"">集合</span>中各元素之间没有次序关系，涉及元素与<span class=""hit"">集合</span>的操作包括：将新元素加入<span class=""hit"">集合</span>、从<span class=""hit"">集合</span>中删除指定元素、判定某元素是否属于<span class=""hit"">集合</span>等。还可以对<span class=""hit"">集合</span>进行操作，如判定<span class=""hit"">集合</span>是否为空、求两个<span class=""hit"">集合</span>的并集、求两个<span class=""hit"">集合</span>的交集、求一个<span class=""hit"">集合</span>的补集等</div><div class=""ansbox"">挖空答案：<b>集合</b></div><div class=""pg"">教材页码：P34</div>"	绪论 识记 基本概念和术语 13003数据结构与算法
"<div class=""top""><span class=""chip c1"">章节：绪论</span><span class=""chip c2"">识记</span><span class=""chip c3"">基本概念和术语</span></div><h1>线性结构</h1><div class=""q"">线性结构是<span class=""blank"">______</span>之间存在着先后次序关系的结构，每个元素都对应着一个唯一的次序，这个次序决定着元素的<span class=""blank"">______</span></div>"	"<div class=""top""><span class=""chip c1"">章节：绪论</span><span class=""chip c2"">识记</span><span class=""chip c3"">基本概念和术语</span></div><h1>线性结构</h1><div class=""a"">线性结构是<span class=""hit"">数据元素</span>之间存在着先后次序关系的结构，每个元素都对应着一个唯一的次序，这个次序决定着元素的<span class=""hit"">位置</span></div><div class=""ansbox"">挖空答案：<b>数据元素、位置</b></div><div class=""pg"">教材页码：P34</div>"	绪论 识记 基本概念和术语 13003数据结构与算法
"<div class=""top""><span class=""chip c1"">章节：绪论</span><span class=""chip c2"">识记</span><span class=""chip c3"">基本概念和术语</span></div><h1>树结构</h1><div class=""q"">树结构是一种层次结构，其中的<span class=""blank"">______</span>按层排列。除了顶层的元素以外，每个数据元素都对应一个上一层元素，同时可以有数目不等的下一层元素。</div>"	"<div class=""top""><span class=""chip c1"">章节：绪论</span><span class=""chip c2"">识记</span><span class=""chip c3"">基本概念和术语</span></div><h1>树结构</h1><div class=""a"">树结构是一种层次结构，其中的<span class=""hit"">数据元素</span>按层排列。除了顶层的元素以外，每个<span class=""hit"">数据元素</span>都对应一个上一层元素，同时可以有数目不等的下一层元素。</div><div class=""ansbox"">挖空答案：<b>数据元素</b></div><div class=""pg"">教材页码：P34</div>"	绪论 识记 基本概念和术语 13003数据结构与算法
